suc_cod,documento,fecha,hora,estado,hora_franja
487,1025,2023-12-16,07:30,Nada,30
487,1026,2023-12-16,07:30,Trabaja,30
487,1027,2023-12-16,07:30,Trabaja,30
487,1028,2023-12-16,07:30,Nada,30
487,1029,2023-12-16,07:30,Trabaja,30
487,1022,2023-12-16,07:30,Nada,30
487,1023,2023-12-16,07:30,Nada,30
487,1024,2023-12-16,07:30,Nada,30
487,1025,2023-12-16,07:45,Nada,31
487,1026,2023-12-16,07:45,Trabaja,31
487,1027,2023-12-16,07:45,Trabaja,31
487,1028,2023-12-16,07:45,Trabaja,31
487,1029,2023-12-16,07:45,Trabaja,31
487,1022,2023-12-16,07:45,Nada,31
487,1023,2023-12-16,07:45,Nada,31
487,1024,2023-12-16,07:45,Nada,31
487,1025,2023-12-16,08:00,Nada,32
487,1026,2023-12-16,08:00,Trabaja,32
487,1027,2023-12-16,08:00,Trabaja,32
487,1028,2023-12-16,08:00,Trabaja,32
487,1029,2023-12-16,08:00,Trabaja,32
487,1022,2023-12-16,08:00,Trabaja,32
487,1023,2023-12-16,08:00,Trabaja,32
487,1024,2023-12-16,08:00,Trabaja,32
487,1025,2023-12-16,08:15,Trabaja,33
487,1026,2023-12-16,08:15,Trabaja,33
487,1027,2023-12-16,08:15,Trabaja,33
487,1028,2023-12-16,08:15,Trabaja,33
487,1029,2023-12-16,08:15,Trabaja,33
487,1022,2023-12-16,08:15,Trabaja,33
487,1023,2023-12-16,08:15,Trabaja,33
487,1024,2023-12-16,08:15,Trabaja,33
487,1025,2023-12-16,08:30,Trabaja,34
487,1026,2023-12-16,08:30,Trabaja,34
487,1027,2023-12-16,08:30,Trabaja,34
487,1028,2023-12-16,08:30,Trabaja,34
487,1029,2023-12-16,08:30,Trabaja,34
487,1022,2023-12-16,08:30,Trabaja,34
487,1023,2023-12-16,08:30,Trabaja,34
487,1024,2023-12-16,08:30,Trabaja,34
487,1025,2023-12-16,08:45,Trabaja,35
487,1026,2023-12-16,08:45,Trabaja,35
487,1027,2023-12-16,08:45,Trabaja,35
487,1028,2023-12-16,08:45,Trabaja,35
487,1029,2023-12-16,08:45,Trabaja,35
487,1022,2023-12-16,08:45,Trabaja,35
487,1023,2023-12-16,08:45,Trabaja,35
487,1024,2023-12-16,08:45,Trabaja,35
487,1025,2023-12-16,09:00,Trabaja,36
487,1026,2023-12-16,09:00,Trabaja,36
487,1027,2023-12-16,09:00,Trabaja,36
487,1028,2023-12-16,09:00,Trabaja,36
487,1029,2023-12-16,09:00,Pausa Activa,36
487,1022,2023-12-16,09:00,Trabaja,36
487,1023,2023-12-16,09:00,Trabaja,36
487,1024,2023-12-16,09:00,Trabaja,36
487,1025,2023-12-16,09:15,Trabaja,37
487,1026,2023-12-16,09:15,Pausa Activa,37
487,1027,2023-12-16,09:15,Trabaja,37
487,1028,2023-12-16,09:15,Trabaja,37
487,1029,2023-12-16,09:15,Trabaja,37
487,1022,2023-12-16,09:15,Trabaja,37
487,1023,2023-12-16,09:15,Trabaja,37
487,1024,2023-12-16,09:15,Trabaja,37
487,1025,2023-12-16,09:30,Trabaja,38
487,1026,2023-12-16,09:30,Trabaja,38
487,1027,2023-12-16,09:30,Pausa Activa,38
487,1028,2023-12-16,09:30,Pausa Activa,38
487,1029,2023-12-16,09:30,Trabaja,38
487,1022,2023-12-16,09:30,Trabaja,38
487,1023,2023-12-16,09:30,Trabaja,38
487,1024,2023-12-16,09:30,Trabaja,38
487,1025,2023-12-16,09:45,Trabaja,39
487,1026,2023-12-16,09:45,Trabaja,39
487,1027,2023-12-16,09:45,Trabaja,39
487,1028,2023-12-16,09:45,Trabaja,39
487,1029,2023-12-16,09:45,Trabaja,39
487,1022,2023-12-16,09:45,Pausa Activa,39
487,1023,2023-12-16,09:45,Trabaja,39
487,1024,2023-12-16,09:45,Pausa Activa,39
487,1025,2023-12-16,10:00,Pausa Activa,40
487,1026,2023-12-16,10:00,Trabaja,40
487,1027,2023-12-16,10:00,Trabaja,40
487,1028,2023-12-16,10:00,Trabaja,40
487,1029,2023-12-16,10:00,Trabaja,40
487,1022,2023-12-16,10:00,Trabaja,40
487,1023,2023-12-16,10:00,Pausa Activa,40
487,1024,2023-12-16,10:00,Trabaja,40
487,1025,2023-12-16,10:15,Trabaja,41
487,1026,2023-12-16,10:15,Trabaja,41
487,1027,2023-12-16,10:15,Trabaja,41
487,1028,2023-12-16,10:15,Trabaja,41
487,1029,2023-12-16,10:15,Trabaja,41
487,1022,2023-12-16,10:15,Trabaja,41
487,1023,2023-12-16,10:15,Trabaja,41
487,1024,2023-12-16,10:15,Trabaja,41
487,1025,2023-12-16,10:30,Trabaja,42
